class,split,index
DrinkingCoffee,train,88
DrinkingCoffee,train,89
DrinkingCoffee,train,90
DrinkingCoffee,train,91
Attentive,train,92
UsingMirror,train,93
UsingMirror,train,94
UsingRadio,train,95
Attentive,train,96
Attentive,train,97
UsingRadio,train,98
UsingMirror,train,99
UsingRadio,train,100
DrinkingCoffee,train,101
Attentive,train,102
UsingRadio,train,103
UsingRadio,train,104
DrinkingCoffee,train,105
Attentive,train,106
UsingMirror,train,107
UsingMirror,train,108
DrinkingCoffee,train,109
DrinkingCoffee,train,110
DrinkingCoffee,train,111
UsingMirror,train,112
DrinkingCoffee,train,113
DrinkingCoffee,train,114
UsingMirror,train,115
UsingMirror,train,116
UsingMirror,train,117
UsingRadio,train,118
DrinkingCoffee,train,119
DrinkingCoffee,train,120
UsingRadio,train,121
UsingMirror,train,122
UsingMirror,train,123
Attentive,train,124
Attentive,train,125
Attentive,train,126
UsingMirror,train,127
DrinkingCoffee,train,128
UsingRadio,train,129
UsingMirror,train,130
DrinkingCoffee,train,131
DrinkingCoffee,train,132
DrinkingCoffee,train,133
Attentive,train,134
UsingRadio,train,135
UsingRadio,train,136
UsingMirror,train,137
UsingRadio,train,138
UsingRadio,train,139
UsingRadio,train,140
DrinkingCoffee,train,141
UsingRadio,train,142
UsingRadio,train,143
UsingRadio,train,144
UsingRadio,train,145
UsingRadio,train,146
UsingMirror,train,147
UsingMirror,train,148
Attentive,train,149
DrinkingCoffee,train,150
UsingMirror,train,151
Attentive,train,152
DrinkingCoffee,train,153
UsingMirror,train,154
UsingRadio,train,155
DrinkingCoffee,train,156
Attentive,train,157
UsingRadio,train,158
Attentive,train,159
DrinkingCoffee,train,160
Attentive,train,161
UsingMirror,train,162
UsingMirror,train,163
UsingRadio,train,164
UsingRadio,train,165
DrinkingCoffee,train,166
UsingRadio,train,167
UsingRadio,train,168
DrinkingCoffee,train,169
Attentive,train,170
UsingMirror,train,171
UsingRadio,train,172
DrinkingCoffee,train,173
Attentive,train,174
DrinkingCoffee,train,175
Attentive,train,176
DrinkingCoffee,train,177
UsingRadio,train,178
UsingRadio,train,179
Attentive,train,180
UsingRadio,train,181
DrinkingCoffee,train,182
Attentive,train,183
DrinkingCoffee,train,184
Attentive,train,185
UsingMirror,train,186
Attentive,train,187
UsingRadio,train,188
DrinkingCoffee,train,189
UsingRadio,train,190
UsingMirror,train,191
Attentive,train,192
Attentive,train,193
Attentive,train,194
Attentive,train,195
DrinkingCoffee,train,196
UsingRadio,train,197
DrinkingCoffee,train,198
UsingMirror,train,199
DrinkingCoffee,train,200
DrinkingCoffee,train,201
DrinkingCoffee,train,202
DrinkingCoffee,train,203
Attentive,train,204
DrinkingCoffee,train,205
Attentive,train,206
Attentive,train,207
Attentive,train,208
UsingRadio,train,209
Attentive,train,210
UsingMirror,train,211
DrinkingCoffee,train,212
UsingMirror,train,213
UsingMirror,train,214
Attentive,train,215
DrinkingCoffee,train,216
DrinkingCoffee,train,217
UsingRadio,train,218
UsingMirror,train,219
UsingMirror,train,220
DrinkingCoffee,train,221
UsingMirror,train,222
UsingRadio,train,223
UsingMirror,train,224
UsingRadio,train,225
Attentive,train,226
UsingMirror,train,227
DrinkingCoffee,train,228
Attentive,train,229
Attentive,train,230
Attentive,train,231
UsingRadio,train,232
DrinkingCoffee,train,233
UsingMirror,train,234
UsingMirror,train,235
UsingRadio,train,236
UsingMirror,train,237
Attentive,train,238
Attentive,train,239
UsingRadio,train,240
Attentive,train,241
Attentive,train,242
UsingRadio,train,243
UsingMirror,train,244
Attentive,train,245
DrinkingCoffee,train,246
UsingRadio,train,247
DrinkingCoffee,train,248
UsingMirror,train,249
UsingRadio,train,250
UsingMirror,train,251
UsingMirror,train,252
UsingRadio,train,253
DrinkingCoffee,train,254
Attentive,train,255
DrinkingCoffee,train,256
UsingRadio,train,257
DrinkingCoffee,train,258
UsingRadio,train,259
DrinkingCoffee,train,260
Attentive,train,261
UsingRadio,train,262
UsingRadio,train,263
UsingRadio,train,264
Attentive,train,265
UsingMirror,train,266
UsingRadio,train,267
UsingRadio,train,268
UsingMirror,train,269
UsingRadio,train,270
UsingRadio,train,271
UsingRadio,train,272
Attentive,train,273
DrinkingCoffee,train,274
Attentive,train,275
UsingRadio,train,276
UsingMirror,train,277
Attentive,train,278
UsingMirror,train,279
DrinkingCoffee,train,280
DrinkingCoffee,train,281
UsingRadio,train,282
UsingMirror,train,283
UsingMirror,train,284
DrinkingCoffee,train,285
UsingRadio,train,286
DrinkingCoffee,train,287
UsingMirror,train,288
UsingRadio,train,289
DrinkingCoffee,train,290
Attentive,train,291
Attentive,train,292
UsingRadio,train,293
UsingMirror,train,294
DrinkingCoffee,train,295
Attentive,train,296
UsingRadio,train,297
UsingRadio,train,298
DrinkingCoffee,train,299
Attentive,train,300
Attentive,train,301
UsingMirror,train,302
UsingRadio,train,303
UsingMirror,train,304
UsingRadio,train,305
UsingRadio,train,306
UsingMirror,train,307
UsingMirror,train,308
UsingMirror,train,309
UsingRadio,train,310
UsingMirror,train,311
UsingMirror,train,312
UsingRadio,train,313
DrinkingCoffee,train,314
UsingRadio,train,315
UsingMirror,train,316
UsingRadio,train,317
Attentive,train,318
DrinkingCoffee,train,319
DrinkingCoffee,train,320
DrinkingCoffee,train,321
DrinkingCoffee,train,322
Attentive,train,323
DrinkingCoffee,train,324
DrinkingCoffee,train,325
DrinkingCoffee,train,326
UsingMirror,train,327
Attentive,train,328
DrinkingCoffee,train,329
UsingRadio,train,330
DrinkingCoffee,train,331
DrinkingCoffee,train,332
UsingRadio,train,333
UsingMirror,train,334
Attentive,train,335
DrinkingCoffee,train,336
UsingMirror,train,337
DrinkingCoffee,train,338
UsingMirror,train,339
UsingRadio,train,340
DrinkingCoffee,train,341
UsingRadio,train,342
UsingMirror,train,343
UsingMirror,train,344
UsingMirror,train,345
Attentive,train,346
UsingMirror,train,347
DrinkingCoffee,train,348
UsingRadio,train,349
UsingMirror,train,350
UsingMirror,train,351
UsingMirror,train,352
UsingMirror,train,353
DrinkingCoffee,train,354
Attentive,train,355
Attentive,train,356
DrinkingCoffee,train,357
Attentive,train,358
Attentive,train,359
Attentive,train,360
UsingRadio,train,361
Attentive,train,362
Attentive,train,363
UsingMirror,train,364
Attentive,train,365
Attentive,train,366
Attentive,train,367
UsingRadio,train,368
DrinkingCoffee,train,369
Attentive,train,370
DrinkingCoffee,train,371
Attentive,train,372
Attentive,train,373
UsingMirror,train,374
Attentive,train,375
Attentive,train,376
Attentive,train,377
UsingMirror,train,378
Attentive,train,379
DrinkingCoffee,train,380
UsingMirror,train,381
UsingRadio,train,382
Attentive,train,383
Attentive,train,384
DrinkingCoffee,train,385
Attentive,train,386
DrinkingCoffee,train,387
Attentive,train,388
UsingRadio,train,389
Attentive,train,390
Attentive,train,391
DrinkingCoffee,train,392
UsingMirror,train,393
UsingRadio,train,394
Attentive,train,395
DrinkingCoffee,train,396
Attentive,train,397
Attentive,train,398
Attentive,train,399
DrinkingCoffee,train,400
UsingMirror,train,401
DrinkingCoffee,train,402
UsingRadio,train,403
DrinkingCoffee,train,404
DrinkingCoffee,train,405
UsingRadio,train,406
UsingRadio,train,407
Attentive,train,408
UsingMirror,train,409
DrinkingCoffee,train,410
DrinkingCoffee,train,411
Attentive,train,412
UsingMirror,train,413
UsingMirror,train,414
Attentive,train,415
Attentive,train,416
UsingMirror,train,417
DrinkingCoffee,train,418
UsingRadio,train,419
DrinkingCoffee,train,420
DrinkingCoffee,train,421
DrinkingCoffee,train,422
UsingRadio,train,423
UsingMirror,train,424
DrinkingCoffee,train,425
Attentive,train,426
UsingMirror,train,427
DrinkingCoffee,train,428
DrinkingCoffee,train,429
UsingRadio,train,430
UsingRadio,train,431
UsingMirror,train,432
DrinkingCoffee,train,433
UsingRadio,train,434
UsingRadio,train,435
UsingMirror,train,436
UsingMirror,train,437
Attentive,train,438
DrinkingCoffee,train,439
DrinkingCoffee,train,440
UsingMirror,train,441
DrinkingCoffee,train,442
Attentive,train,443
UsingMirror,train,444
Attentive,train,445
DrinkingCoffee,train,446
DrinkingCoffee,train,447
UsingRadio,train,448
Attentive,train,449
UsingRadio,train,450
UsingRadio,train,451
DrinkingCoffee,train,452
Attentive,train,453
Attentive,train,454
DrinkingCoffee,train,455
Attentive,train,456
DrinkingCoffee,train,457
UsingMirror,train,458
UsingRadio,train,459
UsingRadio,train,460
DrinkingCoffee,train,461
DrinkingCoffee,train,462
DrinkingCoffee,train,463
DrinkingCoffee,train,464
UsingMirror,train,465
UsingMirror,train,466
Attentive,train,467
Attentive,train,468
Attentive,train,469
UsingRadio,train,470
DrinkingCoffee,train,471
Attentive,train,472
UsingMirror,train,473
UsingRadio,train,474
UsingRadio,train,475
UsingRadio,train,476
UsingMirror,train,477
Attentive,train,478
Attentive,train,479
Attentive,train,480
UsingMirror,train,481
Attentive,train,482
UsingMirror,train,483
UsingMirror,train,484
DrinkingCoffee,train,485
UsingMirror,train,486
DrinkingCoffee,train,487
UsingRadio,train,488
UsingMirror,train,489
Attentive,train,490
DrinkingCoffee,train,491
DrinkingCoffee,train,492
UsingMirror,train,493
UsingMirror,train,494
UsingMirror,train,495
UsingMirror,train,496
Attentive,train,497
Attentive,train,498
UsingMirror,train,499
Attentive,train,500
Attentive,train,501
Attentive,train,502
DrinkingCoffee,train,503
UsingMirror,train,504
Attentive,train,505
UsingRadio,train,506
Attentive,train,507
Attentive,train,508
Attentive,train,509
UsingRadio,train,510
UsingMirror,train,511
Attentive,train,512
UsingRadio,train,513
UsingMirror,train,514
DrinkingCoffee,train,515
UsingMirror,train,516
Attentive,train,517
UsingMirror,train,518
Attentive,train,519
DrinkingCoffee,train,520
UsingRadio,train,521
DrinkingCoffee,train,522
Attentive,train,523
UsingRadio,train,524
UsingRadio,train,525
Attentive,train,526
Attentive,train,527
Attentive,train,528
DrinkingCoffee,train,529
DrinkingCoffee,train,530
Attentive,train,531
UsingMirror,train,532
UsingMirror,train,533
UsingRadio,train,534
UsingMirror,train,535
Attentive,train,536
UsingRadio,train,537
DrinkingCoffee,train,538
Attentive,train,539
UsingMirror,train,540
Attentive,train,541
UsingRadio,train,542
DrinkingCoffee,train,543
DrinkingCoffee,train,544
UsingMirror,train,545
Attentive,train,546
DrinkingCoffee,train,547
UsingRadio,train,548
Attentive,train,549
UsingRadio,train,550
UsingMirror,train,551
DrinkingCoffee,train,552
DrinkingCoffee,train,553
UsingMirror,train,554
UsingMirror,train,555
DrinkingCoffee,train,556
UsingMirror,train,557
UsingMirror,train,558
UsingMirror,train,559
Attentive,train,560
DrinkingCoffee,train,561
DrinkingCoffee,train,562
DrinkingCoffee,train,563
Attentive,train,564
DrinkingCoffee,train,565
UsingRadio,train,566
DrinkingCoffee,train,567
DrinkingCoffee,train,568
UsingRadio,train,569
Attentive,train,570
DrinkingCoffee,train,571
Attentive,train,572
UsingRadio,train,573
Attentive,train,574
UsingRadio,train,575
DrinkingCoffee,train,576
UsingRadio,train,577
UsingRadio,train,578
Attentive,train,579
DrinkingCoffee,train,580
UsingMirror,train,581
UsingMirror,train,582
UsingRadio,train,583
DrinkingCoffee,train,584
UsingMirror,train,585
UsingMirror,train,586
Attentive,train,587
UsingMirror,train,588
Attentive,train,589
Attentive,train,590
UsingMirror,train,591
UsingMirror,train,592
Attentive,train,593
UsingMirror,train,594
DrinkingCoffee,train,595
Attentive,train,596
DrinkingCoffee,train,597
DrinkingCoffee,train,598
UsingRadio,train,599
Attentive,train,600
DrinkingCoffee,train,601
UsingRadio,train,602
Attentive,train,603
UsingMirror,train,604
UsingMirror,train,605
UsingMirror,train,606
UsingRadio,train,607
UsingRadio,train,608
DrinkingCoffee,train,609
DrinkingCoffee,train,610
UsingMirror,train,611
Attentive,train,612
UsingRadio,train,613
UsingRadio,train,614
UsingMirror,train,615
DrinkingCoffee,train,616
Attentive,train,617
UsingRadio,train,618
UsingRadio,train,619
UsingRadio,train,620
UsingMirror,train,621
UsingMirror,train,622
UsingRadio,train,623
Attentive,train,624
Attentive,train,625
Attentive,train,626
DrinkingCoffee,train,627
DrinkingCoffee,train,628
Attentive,train,629
UsingMirror,train,630
Attentive,train,631
UsingRadio,train,632
DrinkingCoffee,train,633
Attentive,train,634
DrinkingCoffee,train,635
Attentive,train,636
DrinkingCoffee,train,637
DrinkingCoffee,train,638
Attentive,train,639
UsingRadio,train,640
DrinkingCoffee,train,641
UsingRadio,train,642
Attentive,train,643
DrinkingCoffee,train,644
UsingMirror,train,645
UsingMirror,train,646
UsingMirror,train,647
UsingRadio,train,648
UsingRadio,train,649
UsingRadio,train,650
UsingMirror,train,651
UsingRadio,train,652
UsingRadio,train,653
Attentive,train,654
DrinkingCoffee,train,655
UsingRadio,train,656
Attentive,train,657
Attentive,train,658
UsingRadio,train,659
UsingRadio,train,660
UsingMirror,train,661
Attentive,train,662
DrinkingCoffee,train,663
UsingRadio,train,664
Attentive,train,665
Attentive,train,666
UsingMirror,train,667
Attentive,train,668
UsingRadio,train,669
UsingRadio,train,670
UsingRadio,train,671
Attentive,train,672
UsingRadio,train,673
DrinkingCoffee,train,674
DrinkingCoffee,train,675
Attentive,train,676
DrinkingCoffee,train,677
DrinkingCoffee,train,678
Attentive,train,679
Attentive,train,680
Attentive,train,681
UsingRadio,train,682
DrinkingCoffee,train,683
Attentive,train,684
UsingMirror,train,685
UsingMirror,train,686
UsingMirror,train,687
UsingMirror,train,688
UsingRadio,train,689
DrinkingCoffee,train,690
Attentive,train,691
Attentive,train,692
UsingRadio,train,693
UsingMirror,train,694
UsingRadio,train,695
UsingRadio,train,696
Attentive,train,697
UsingRadio,train,698
Attentive,train,699
UsingRadio,train,700
UsingMirror,train,701
UsingRadio,train,702
DrinkingCoffee,train,703
UsingMirror,train,704
Attentive,train,705
UsingMirror,train,706
DrinkingCoffee,train,707
UsingRadio,train,708
UsingMirror,train,709
DrinkingCoffee,train,710
DrinkingCoffee,train,711
Attentive,train,712
DrinkingCoffee,train,713
UsingMirror,train,714
DrinkingCoffee,train,715
Attentive,train,716
Attentive,train,717
UsingMirror,train,718
UsingRadio,train,719
DrinkingCoffee,train,720
DrinkingCoffee,train,721
UsingRadio,train,722
UsingRadio,train,723
Attentive,train,724
DrinkingCoffee,train,725
UsingMirror,train,726
Attentive,train,727
DrinkingCoffee,train,728
UsingMirror,train,729
UsingMirror,train,730
DrinkingCoffee,train,731
DrinkingCoffee,train,732
UsingMirror,train,733
Attentive,train,734
DrinkingCoffee,train,735
UsingRadio,train,736
UsingRadio,train,737
UsingRadio,train,738
UsingMirror,train,739
UsingRadio,train,740
Attentive,train,741
UsingRadio,train,742
DrinkingCoffee,train,743
Attentive,train,744
UsingMirror,train,745
UsingMirror,train,746
DrinkingCoffee,train,747
Attentive,train,748
UsingMirror,train,749
UsingRadio,train,750
DrinkingCoffee,train,751
UsingRadio,train,752
UsingMirror,train,753
DrinkingCoffee,train,754
DrinkingCoffee,train,755
DrinkingCoffee,train,756
Attentive,train,757
Attentive,train,758
DrinkingCoffee,train,759
UsingRadio,train,760
UsingRadio,train,761
Attentive,train,762
Attentive,train,763
UsingRadio,train,764
Attentive,train,765
DrinkingCoffee,train,766
UsingMirror,train,767
UsingRadio,train,768
UsingRadio,train,769
Attentive,train,770
UsingRadio,train,771
DrinkingCoffee,train,772
Attentive,train,773
DrinkingCoffee,train,774
UsingRadio,train,775
Attentive,train,776
DrinkingCoffee,train,777
Attentive,train,778
UsingMirror,train,779
DrinkingCoffee,train,780
UsingRadio,train,781
DrinkingCoffee,train,782
Attentive,train,783
UsingMirror,train,784
DrinkingCoffee,train,785
Attentive,train,786
UsingMirror,train,787
UsingRadio,train,788
Attentive,train,789
UsingMirror,train,790
UsingRadio,train,791
UsingMirror,train,792
Attentive,train,793
DrinkingCoffee,train,794
DrinkingCoffee,train,795
Attentive,train,796
UsingMirror,train,797
UsingMirror,train,798
DrinkingCoffee,train,799
UsingRadio,train,800
UsingMirror,train,801
UsingRadio,train,802
DrinkingCoffee,train,803
Attentive,train,804
UsingRadio,train,805
DrinkingCoffee,train,806
UsingRadio,train,807
UsingMirror,train,808
UsingMirror,train,809
DrinkingCoffee,train,810
UsingMirror,train,811
DrinkingCoffee,train,812
DrinkingCoffee,train,813
UsingMirror,train,814
Attentive,train,815
UsingMirror,train,816
UsingRadio,train,817
UsingRadio,train,818
DrinkingCoffee,train,819
UsingRadio,train,820
UsingRadio,train,821
DrinkingCoffee,train,822
UsingMirror,train,823
Attentive,train,824
Attentive,train,825
DrinkingCoffee,train,826
UsingMirror,train,827
UsingMirror,train,828
DrinkingCoffee,train,829
DrinkingCoffee,train,830
UsingRadio,train,831
UsingMirror,train,832
Attentive,train,833
DrinkingCoffee,train,834
Attentive,train,835
UsingRadio,train,836
UsingRadio,train,837
UsingRadio,train,838
UsingMirror,train,839
UsingRadio,train,840
Attentive,train,841
DrinkingCoffee,train,842
DrinkingCoffee,train,843
DrinkingCoffee,train,844
DrinkingCoffee,train,845
UsingMirror,train,846
Attentive,train,847
DrinkingCoffee,train,848
UsingMirror,train,849
DrinkingCoffee,train,850
DrinkingCoffee,train,851
UsingMirror,train,852
UsingMirror,train,853
DrinkingCoffee,train,854
UsingRadio,train,855
Attentive,train,856
UsingRadio,train,857
DrinkingCoffee,train,858
DrinkingCoffee,train,859
DrinkingCoffee,train,860
Attentive,train,861
UsingMirror,train,862
UsingMirror,train,863
Attentive,train,864
UsingRadio,train,865
UsingMirror,train,866
DrinkingCoffee,train,867
DrinkingCoffee,train,868
UsingRadio,train,869
Attentive,train,870
UsingRadio,train,871
UsingMirror,train,872
Attentive,train,873
Attentive,train,874
UsingRadio,train,875
Attentive,train,876
UsingMirror,train,877
DrinkingCoffee,train,878
UsingMirror,train,879
Attentive,train,880
UsingRadio,train,881
UsingMirror,train,882
UsingMirror,train,883
UsingMirror,train,884
UsingRadio,train,885
UsingRadio,train,886
UsingRadio,train,887
Attentive,train,888
UsingRadio,train,889
UsingMirror,train,890
Attentive,train,891
UsingMirror,train,892
UsingRadio,train,893
UsingRadio,train,894
DrinkingCoffee,train,895
Attentive,train,896
UsingRadio,train,897
UsingRadio,train,898
UsingMirror,train,899
UsingMirror,train,900
UsingRadio,train,901
UsingRadio,train,902
DrinkingCoffee,train,903
UsingRadio,train,904
Attentive,train,905
Attentive,train,906
UsingRadio,train,907
UsingRadio,train,908
Attentive,train,909
Attentive,train,910
DrinkingCoffee,train,911
UsingRadio,train,912
DrinkingCoffee,train,913
UsingRadio,train,914
Attentive,train,915
UsingMirror,train,916
DrinkingCoffee,train,917
DrinkingCoffee,train,918
UsingRadio,train,919
DrinkingCoffee,train,920
Attentive,train,921
UsingRadio,train,922
UsingMirror,train,923
DrinkingCoffee,train,924
UsingMirror,train,925
UsingRadio,train,926
UsingMirror,train,927
DrinkingCoffee,train,928
UsingRadio,train,929
Attentive,train,930
Attentive,train,931
DrinkingCoffee,train,932
UsingMirror,train,933
DrinkingCoffee,train,934
UsingMirror,train,935
Attentive,train,936
DrinkingCoffee,train,937
UsingRadio,train,938
UsingMirror,train,939
Attentive,train,940
UsingRadio,train,941
UsingMirror,train,942
Attentive,train,943
Attentive,train,944
DrinkingCoffee,train,945
DrinkingCoffee,train,946
UsingRadio,train,947
UsingMirror,train,948
Attentive,train,949
Attentive,train,950
Attentive,train,951
UsingRadio,train,952
Attentive,train,953
UsingMirror,train,954
DrinkingCoffee,train,955
UsingMirror,train,956
Attentive,train,957
UsingMirror,train,958
DrinkingCoffee,train,959
UsingMirror,train,960
UsingRadio,train,961
Attentive,train,962
UsingMirror,train,963
DrinkingCoffee,train,964
Attentive,train,965
UsingMirror,train,966
DrinkingCoffee,train,967
DrinkingCoffee,train,968
UsingRadio,train,969
DrinkingCoffee,train,970
Attentive,train,971
Attentive,train,972
Attentive,train,973
Attentive,train,974
Attentive,train,975
Attentive,train,976
DrinkingCoffee,train,977
UsingMirror,train,978
UsingRadio,train,979
DrinkingCoffee,train,980
Attentive,train,981
UsingRadio,train,982
Attentive,train,983
Attentive,train,984
DrinkingCoffee,train,985
Attentive,train,986
Attentive,train,987
UsingMirror,train,988
Attentive,train,989
Attentive,train,990
UsingRadio,train,991
DrinkingCoffee,train,992
DrinkingCoffee,train,993
DrinkingCoffee,train,994
Attentive,train,995
UsingRadio,train,996
UsingMirror,train,997
DrinkingCoffee,train,998
UsingRadio,train,999
UsingRadio,train,1000
DrinkingCoffee,train,1001
UsingRadio,train,1002
UsingRadio,train,1003
DrinkingCoffee,train,1004
UsingRadio,train,1005
UsingRadio,train,1006
UsingRadio,train,1007
UsingRadio,train,1008
UsingMirror,train,1009
UsingMirror,train,1010
UsingMirror,train,1011
UsingMirror,train,1012
UsingMirror,train,1013
Attentive,train,1014
Attentive,train,1015
Attentive,train,1016
Attentive,train,1017
UsingRadio,train,1018
Attentive,train,1019
UsingRadio,train,1020
UsingRadio,train,1021
DrinkingCoffee,train,1022
DrinkingCoffee,train,1023
Attentive,train,1024
Attentive,train,1025
UsingRadio,train,1026
Attentive,train,1027
DrinkingCoffee,train,1028
UsingRadio,train,1029
UsingRadio,train,1030
UsingMirror,train,1031
Attentive,train,1032
UsingRadio,train,1033
Attentive,train,1034
UsingRadio,train,1035
DrinkingCoffee,train,1036
UsingMirror,train,1037
UsingMirror,train,1038
UsingRadio,train,1039
Attentive,train,1040
DrinkingCoffee,train,1041
UsingRadio,train,1042
DrinkingCoffee,train,1043
UsingMirror,train,1044
Attentive,train,1045
UsingMirror,train,1046
Attentive,train,1047
DrinkingCoffee,train,1048
Attentive,train,1049
Attentive,train,1050
Attentive,train,1051
Attentive,train,1052
UsingMirror,train,1053
Attentive,train,1054
Attentive,train,1055
UsingMirror,train,1056
Attentive,train,1057
DrinkingCoffee,train,1058
DrinkingCoffee,train,1059
UsingMirror,train,1060
UsingMirror,train,1061
Attentive,train,1062
DrinkingCoffee,train,1063
UsingRadio,train,1064
Attentive,train,1065
UsingMirror,train,1066
UsingRadio,train,1067
UsingRadio,train,1068
UsingRadio,train,1069
Attentive,train,1070
UsingRadio,train,1071
DrinkingCoffee,train,1072
Attentive,train,1073
DrinkingCoffee,train,1074
DrinkingCoffee,train,1075
Attentive,train,1076
DrinkingCoffee,train,1077
Attentive,train,1078
UsingMirror,train,1079
UsingRadio,train,1080
Attentive,train,1081
UsingRadio,train,1082
UsingMirror,train,1083
Attentive,train,1084
Attentive,train,1085
Attentive,train,1086
Attentive,train,1087
UsingMirror,train,1088
Attentive,train,1089
Attentive,train,1090
UsingRadio,train,1091
UsingRadio,train,1092
UsingRadio,train,1093
Attentive,train,1094
Attentive,train,1095
DrinkingCoffee,train,1096
UsingRadio,train,1097
DrinkingCoffee,train,1098
UsingMirror,train,1099
DrinkingCoffee,train,1100
Attentive,train,1101
DrinkingCoffee,train,1102
UsingRadio,train,1103
DrinkingCoffee,train,1104
Attentive,train,1105
UsingMirror,train,1106
Attentive,train,1107
UsingRadio,train,1108
DrinkingCoffee,train,1109
Attentive,train,1110
Attentive,train,1111
DrinkingCoffee,train,1112
Attentive,train,1113
UsingRadio,train,1114
UsingRadio,train,1115
Attentive,train,1116
Attentive,train,1117
UsingRadio,train,1118
UsingMirror,train,1119
UsingMirror,train,1120
DrinkingCoffee,train,1121
UsingRadio,train,1122
DrinkingCoffee,train,1123
UsingRadio,train,1124
UsingRadio,train,1125
Attentive,train,1126
UsingRadio,train,1127
UsingRadio,train,1128
Attentive,train,1129
Attentive,train,1130
Attentive,train,1131
DrinkingCoffee,train,1132
Attentive,train,1133
UsingRadio,train,1134
UsingRadio,train,1135
UsingRadio,train,1136
Attentive,train,1137
Attentive,train,1138
DrinkingCoffee,train,1139
DrinkingCoffee,train,1140
DrinkingCoffee,train,1141
Attentive,train,1142
Attentive,train,1143
UsingRadio,train,1144
Attentive,train,1145
DrinkingCoffee,train,1146
UsingRadio,train,1147
UsingMirror,train,1148
Attentive,train,1149
Attentive,train,1150
DrinkingCoffee,train,1151
DrinkingCoffee,train,1152
UsingRadio,train,1153
DrinkingCoffee,train,1154
Attentive,train,1155
DrinkingCoffee,train,1156
Attentive,train,1157
UsingRadio,train,1158
UsingMirror,train,1159
UsingRadio,train,1160
UsingRadio,train,1161
UsingRadio,train,1162
UsingRadio,train,1163
UsingRadio,train,1164
Attentive,train,1165
DrinkingCoffee,train,1166
Attentive,train,1167
UsingMirror,train,1168
UsingRadio,train,1169
DrinkingCoffee,train,1170
DrinkingCoffee,train,1171
DrinkingCoffee,train,1172
UsingRadio,train,1173
UsingMirror,train,1174
UsingRadio,train,1175
Attentive,train,1176
UsingRadio,train,1177
UsingMirror,train,1178
DrinkingCoffee,train,1179
UsingRadio,train,1180
Attentive,train,1181
DrinkingCoffee,train,1182
UsingMirror,train,1183
Attentive,train,1184
UsingMirror,train,1185
DrinkingCoffee,train,1186
Attentive,train,1187
UsingRadio,train,1188
DrinkingCoffee,train,1189
UsingMirror,train,1190
UsingMirror,train,1191
DrinkingCoffee,train,1192
Attentive,train,1193
UsingRadio,train,1194
DrinkingCoffee,train,1195
DrinkingCoffee,train,1196
Attentive,train,1197
Attentive,train,1198
UsingMirror,train,1199
UsingRadio,train,1200
Attentive,train,1201
UsingRadio,train,1202
UsingRadio,train,1203
UsingMirror,train,1204
Attentive,train,1205
DrinkingCoffee,train,1206
UsingMirror,train,1207
DrinkingCoffee,train,1208
DrinkingCoffee,train,1209
UsingMirror,train,1210
Attentive,train,1211
Attentive,train,1212
UsingRadio,train,1213
DrinkingCoffee,train,1214
Attentive,train,1215
UsingRadio,train,1216
UsingMirror,train,1217
Attentive,train,1218
UsingMirror,train,1219
DrinkingCoffee,train,1220
Attentive,train,1221
UsingRadio,train,1222
UsingMirror,train,1223
Attentive,train,1224
DrinkingCoffee,train,1225
UsingMirror,train,1226
